symbol,ts_utc,funding_close
BTC,2023-05-09 00:00:00+00,0.005392
BTC,2023-05-10 00:00:00+00,-0.00066
BTC,2023-05-11 00:00:00+00,0.003436
BTC,2023-05-12 00:00:00+00,0.002158
BTC,2023-05-13 00:00:00+00,0.001454
BTC,2023-05-14 00:00:00+00,0.003181
BTC,2023-05-15 00:00:00+00,0.007296
BTC,2023-05-16 00:00:00+00,0.008656
BTC,2023-05-17 00:00:00+00,0.007553
BTC,2023-05-18 00:00:00+00,0.003418
BTC,2023-05-19 00:00:00+00,0.005446
BTC,2023-05-20 00:00:00+00,0.002678
BTC,2023-05-21 00:00:00+00,0.003987
BTC,2023-05-22 00:00:00+00,0.008738
BTC,2023-05-23 00:00:00+00,0.011175
BTC,2023-05-24 00:00:00+00,0.006308
BTC,2023-05-25 00:00:00+00,0.007332
BTC,2023-05-26 00:00:00+00,0.003182
BTC,2023-05-27 00:00:00+00,0.0068
BTC,2023-05-28 00:00:00+00,0.0068
BTC,2023-05-29 00:00:00+00,0.007002
BTC,2023-05-30 00:00:00+00,0.006008
BTC,2023-05-31 00:00:00+00,0.002458
BTC,2023-06-01 00:00:00+00,0.006079
BTC,2023-06-02 00:00:00+00,0.00892
BTC,2023-06-03 00:00:00+00,0.004153
BTC,2023-06-04 00:00:00+00,0.008256
BTC,2023-06-05 00:00:00+00,-0.004721
BTC,2023-06-06 00:00:00+00,0.009207
BTC,2023-06-07 00:00:00+00,0.005924
BTC,2023-06-08 00:00:00+00,0.006657
BTC,2023-06-09 00:00:00+00,0.009137
BTC,2023-06-10 00:00:00+00,0.00311
BTC,2023-06-11 00:00:00+00,0.007848
BTC,2023-06-12 00:00:00+00,0.008776
BTC,2023-06-13 00:00:00+00,0.00374
BTC,2023-06-14 00:00:00+00,-0.000767
BTC,2023-06-15 00:00:00+00,0.006334
BTC,2023-06-16 00:00:00+00,0.006365
BTC,2023-06-17 00:00:00+00,0.003798
BTC,2023-06-18 00:00:00+00,0.006623
BTC,2023-06-19 00:00:00+00,0.005606
BTC,2023-06-20 00:00:00+00,0.000849
BTC,2023-06-21 00:00:00+00,0.014298
BTC,2023-06-22 00:00:00+00,0.008302
BTC,2023-06-23 00:00:00+00,0.007633
BTC,2023-06-24 00:00:00+00,0.009865
BTC,2023-06-25 00:00:00+00,0.010841
BTC,2023-06-26 00:00:00+00,0.007976
